Date,Open,High,Low,Close,Volume
12/29/2016,7.7578,7.7585,7.7544,7.755,0
12/28/2016,7.7586,7.7607,7.7557,7.7581,0
12/27/2016,7.76,7.7607,7.758,7.7591,0
12/26/2016,7.7585,7.7625,7.7582,7.7618,0
12/23/2016,7.7617,7.7645,7.7581,7.7592,0
12/22/2016,7.7625,7.7641,7.7597,7.7619,0
12/21/2016,7.7656,7.7664,7.7595,7.7627,0
12/20/2016,7.7662,7.7683,7.7637,7.7663,0
12/19/2016,7.7652,7.7682,7.763,7.7665,0
12/16/2016,7.7605,7.7683,7.759,7.7662,0
12/15/2016,7.7577,7.7608,7.7568,7.7607,0
12/14/2016,7.7556,7.7598,7.7545,7.7584,0
12/13/2016,7.7575,7.7595,7.7546,7.7559,0
12/12/2016,7.7588,7.7603,7.7564,7.7577,0
12/9/2016,7.7552,7.7601,7.7548,7.7593,0
12/8/2016,7.7555,7.7572,7.7548,7.7554,0
12/7/2016,7.755,7.7574,7.7547,7.7562,0
12/6/2016,7.7542,7.7568,7.7541,7.7558,0
12/5/2016,7.7549,7.7562,7.7537,7.7549,0
12/2/2016,7.7559,7.7565,7.7542,7.7553,0
12/1/2016,7.7562,7.7568,7.7545,7.7562,0
11/30/2016,7.7558,7.7569,7.7546,7.7565,0
11/29/2016,7.7562,7.7573,7.7545,7.7565,0
11/28/2016,7.7558,7.7571,7.7544,7.7567,0
11/25/2016,7.7558,7.7572,7.755,7.7561,0
11/24/2016,7.7566,7.7575,7.7548,7.7565,0
11/23/2016,7.7558,7.7572,7.7545,7.7569,0
11/22/2016,7.7558,7.7565,7.7542,7.7557,0
11/21/2016,7.7561,7.7576,7.7552,7.7561,0
11/18/2016,7.7571,7.7581,7.7559,7.7567,0
11/17/2016,7.7573,7.7578,7.7554,7.7574,0
11/16/2016,7.7576,7.7584,7.7559,7.7577,0
11/15/2016,7.7577,7.7585,7.7554,7.7579,0
11/14/2016,7.7573,7.7594,7.756,7.7584,0
11/11/2016,7.7555,7.7592,7.7551,7.7584,0
11/10/2016,7.7557,7.7576,7.7541,7.7562,0
11/9/2016,7.7539,7.7562,7.7526,7.7561,0
11/8/2016,7.7549,7.7564,7.753,7.7546,0
11/7/2016,7.7549,7.7574,7.7546,7.7553,0
11/4/2016,7.7543,7.7569,7.7543,7.7558,0
11/3/2016,7.7546,7.7565,7.7541,7.755,0
11/2/2016,7.7543,7.7566,7.754,7.7553,0
11/1/2016,7.7545,7.756,7.754,7.755,0
10/31/2016,7.7548,7.756,7.7537,7.7553,0
10/28/2016,7.7549,7.756,7.7531,7.755,0
10/27/2016,7.7568,7.7575,7.7537,7.7552,0
10/26/2016,7.7559,7.7579,7.7544,7.7573,0
10/25/2016,7.7568,7.758,7.7554,7.7566,0
10/24/2016,7.7571,7.7588,7.7554,7.7575,0
10/21/2016,7.7575,7.7597,7.7563,7.7582,0
10/20/2016,7.7574,7.7589,7.7567,7.7583,0
10/19/2016,7.7587,7.7595,7.7566,7.7576,0
10/18/2016,7.758,7.7599,7.7575,7.7594,0
10/17/2016,7.7581,7.7601,7.7577,7.7588,0
10/14/2016,7.7563,7.7599,7.7562,7.7587,0
10/13/2016,7.7565,7.7596,7.756,7.7569,0
10/12/2016,7.7577,7.7598,7.756,7.7573,0
10/11/2016,7.7578,7.7613,7.7575,7.7583,0
